Date,Open,High,Low,Close,Volume
05/14/2024,45.1250,45.1250,45.1250,45.1250,0
05/15/2024,42.5000,42.5000,42.5000,42.5000,0
05/16/2024,42.5000,42.5000,42.5000,42.5000,0
05/17/2024,42.5000,42.5000,42.5000,42.5000,0
05/20/2024,42.5000,42.5000,42.5000,42.5000,0
05/21/2024,42.5000,42.5000,42.5000,42.5000,0
05/22/2024,42.5000,42.5000,42.5000,42.5000,0
05/23/2024,42.5000,42.5000,42.5000,42.5000,0
05/24/2024,44.6667,44.6667,44.6667,44.6667,0
05/28/2024,43.4750,43.4750,43.4750,43.4750,0
05/29/2024,46.0455,46.0455,46.0455,46.0455,0
05/30/2024,47.3750,47.3750,47.3750,47.3750,0
05/31/2024,42.5000,42.5000,42.5000,42.5000,0
06/03/2024,43.1964,43.1964,43.1964,43.1964,0
06/04/2024,45.3874,45.3874,45.3874,45.3874,0
06/05/2024,42.0365,42.0365,42.0365,42.0365,0
06/06/2024,45.9898,45.9898,45.9898,45.9898,0
06/07/2024,46.9969,46.9969,46.9969,46.9969,0
06/10/2024,47.9764,47.9764,47.9764,47.9764,0
06/11/2024,49.1977,49.1977,49.1977,49.1977,0
06/12/2024,53.0497,53.0497,53.0497,53.0497,0
06/13/2024,41.4946,41.4946,41.4946,41.4946,0
06/14/2024,37.5819,37.5819,37.5819,37.5819,0
06/17/2024,47.9801,47.9801,47.9801,47.9801,0
06/18/2024,49.0650,49.0650,49.0650,49.0650,0
06/20/2024,49.9417,49.9417,49.9417,49.9417,0
06/21/2024,44.8404,44.8404,44.8404,44.8404,0
06/24/2024,54.4234,54.4234,54.4234,54.4234,0
06/25/2024,46.8820,46.8820,46.8820,46.8820,0
06/26/2024,48.8522,48.8522,48.8522,48.8522,0
06/27/2024,51.8195,51.8195,51.8195,51.8195,0
06/28/2024,51.6399,51.6399,51.6399,51.6399,0
07/01/2024,59.1740,59.1740,59.1740,59.1740,0
07/02/2024,54.0745,54.0745,54.0745,54.0745,0
07/03/2024,55.3759,55.3759,55.3759,55.3759,0
07/05/2024,54.4744,54.4744,54.4744,54.4744,0
07/08/2024,45.5365,45.5365,45.5365,45.5365,0
07/09/2024,45.2745,45.2745,45.2745,45.2745,0
07/10/2024,45.7164,45.7164,45.7164,45.7164,0
07/11/2024,53.4322,53.4322,53.4322,53.4322,0
07/12/2024,55.4100,55.4100,55.4100,55.4100,0
07/15/2024,60.8715,60.8715,60.8715,60.8715,0
07/16/2024,60.2155,60.2155,60.2155,60.2155,0
07/17/2024,62.2297,62.2297,62.2297,62.2297,0
07/18/2024,58.0963,58.0963,58.0963,58.0963,0
07/19/2024,62.1513,62.1513,62.1513,62.1513,0
07/22/2024,61.4282,61.4282,61.4282,61.4282,0
07/23/2024,65.7671,65.7671,65.7671,65.7671,0
07/24/2024,54.6961,54.6961,54.6961,54.6961,0
07/25/2024,65.7796,65.7796,65.7796,65.7796,0
07/26/2024,66.9247,66.9247,66.9247,66.9247,0
07/29/2024,56.4484,56.4484,56.4484,56.4484,0
07/30/2024,57.2383,57.2383,57.2383,57.2383,0
07/31/2024,53.8663,53.8663,53.8663,53.8663,0
08/01/2024,31.2247,31.2247,31.2247,31.2247,0
08/02/2024,28.2609,28.2609,28.2609,28.2609,0
08/05/2024,29.9277,29.9277,29.9277,29.9277,0
08/06/2024,40.2411,40.2411,40.2411,40.2411,0
08/07/2024,31.3642,31.3642,31.3642,31.3642,0
08/08/2024,35.8708,35.8708,35.8708,35.8708,0
08/09/2024,38.3198,38.3198,38.3198,38.3198,0
08/12/2024,36.9470,36.9470,36.9470,36.9470,0
08/13/2024,38.9613,38.9613,38.9613,38.9613,0
08/14/2024,40.6789,40.6789,40.6789,40.6789,0
08/15/2024,46.6471,46.6471,46.6471,46.6471,0
08/16/2024,46.4995,46.4995,46.4995,46.4995,0
08/19/2024,51.1795,51.1795,51.1795,51.1795,0
08/20/2024,49.2318,49.2318,49.2318,49.2318,0
