time,open,high,low,close,volume
2024-07-24,45.1250,45.1250,45.1250,45.1250,0
2024-07-25,45.1250,45.1250,45.1250,45.1250,0
2024-07-26,45.1250,45.1250,45.1250,45.1250,0
2024-07-29,50.0000,50.0000,50.0000,50.0000,0
2024-07-30,47.0750,47.0750,47.0750,47.0750,0
2024-07-31,44.1250,44.1250,44.1250,44.1250,0
2024-08-01,49.4643,49.4643,49.4643,49.4643,0
2024-08-02,49.8125,49.8125,49.8125,49.8125,0
2024-08-05,45.7500,45.7500,45.7500,45.7500,0
2024-08-06,43.4750,43.4750,43.4750,43.4750,0
2024-08-07,46.9318,46.9318,46.9318,46.9318,0
2024-08-08,44.9375,44.9375,44.9375,44.9375,0
2024-08-09,44.7500,44.7500,44.7500,44.7500,0
2024-08-12,49.4643,49.4643,49.4643,49.4643,0
2024-08-13,46.9066,46.9066,46.9066,46.9066,0
2024-08-14,44.7704,44.7704,44.7704,44.7704,0
2024-08-15,53.1313,53.1313,53.1313,53.1313,0
2024-08-16,56.2694,56.2694,56.2694,56.2694,0
2024-08-19,56.9899,56.9899,56.9899,56.9899,0
2024-08-20,61.1817,61.1817,61.1817,61.1817,0
2024-08-21,60.2910,60.2910,60.2910,60.2910,0
2024-08-22,59.5514,59.5514,59.5514,59.5514,0
2024-08-23,60.1663,60.1663,60.1663,60.1663,0
2024-08-26,55.3636,55.3636,55.3636,55.3636,0
2024-08-27,55.9717,55.9717,55.9717,55.9717,0
2024-08-28,52.5598,52.5598,52.5598,52.5598,0
2024-08-29,54.1467,54.1467,54.1467,54.1467,0
2024-08-30,57.1610,57.1610,57.1610,57.1610,0
2024-09-03,54.8603,54.8603,54.8603,54.8603,0
2024-09-04,51.2135,51.2135,51.2135,51.2135,0
2024-09-05,47.5784,47.5784,47.5784,47.5784,0
2024-09-06,40.8207,40.8207,40.8207,40.8207,0
2024-09-09,38.1227,38.1227,38.1227,38.1227,0
2024-09-10,35.5929,35.5929,35.5929,35.5929,0
2024-09-11,34.7193,34.7193,34.7193,34.7193,0
2024-09-12,37.3171,37.3171,37.3171,37.3171,0
2024-09-13,35.5927,35.5927,35.5927,35.5927,0
2024-09-16,39.7401,39.7401,39.7401,39.7401,0
2024-09-17,41.2558,41.2558,41.2558,41.2558,0
2024-09-18,45.9109,45.9109,45.9109,45.9109,0
2024-09-19,54.6328,54.6328,54.6328,54.6328,0
2024-09-20,52.9372,52.9372,52.9372,52.9372,0
2024-09-23,53.6299,53.6299,53.6299,53.6299,0
2024-09-24,57.0755,57.0755,57.0755,57.0755,0
2024-09-25,50.7781,50.7781,50.7781,50.7781,0
2024-09-26,64.4175,64.4175,64.4175,64.4175,0
2024-09-27,53.7605,53.7605,53.7605,53.7605,0
2024-09-30,55.2653,55.2653,55.2653,55.2653,0
2024-10-01,56.2507,56.2507,56.2507,56.2507,0
2024-10-02,59.4584,59.4584,59.4584,59.4584,0
2024-10-03,55.1943,55.1943,55.1943,55.1943,0
2024-10-04,61.6181,61.6181,61.6181,61.6181,0
2024-10-07,68.6779,68.6779,68.6779,68.6779,0
2024-10-08,63.0991,63.0991,63.0991,63.0991,0
2024-10-09,60.7497,60.7497,60.7497,60.7497,0
2024-10-10,50.7059,50.7059,50.7059,50.7059,0
2024-10-11,57.6815,57.6815,57.6815,57.6815,0
2024-10-14,52.3460,52.3460,52.3460,52.3460,0
2024-10-15,45.0300,45.0300,45.0300,45.0300,0
2024-10-16,52.6462,52.6462,52.6462,52.6462,0
2024-10-17,41.8522,41.8522,41.8522,41.8522,0
2024-10-18,46.8839,46.8839,46.8839,46.8839,0
2024-10-21,48.9003,48.9003,48.9003,48.9003,0
2024-10-22,42.2077,42.2077,42.2077,42.2077,0
2024-10-23,46.2857,46.2857,46.2857,46.2857,0
2024-10-24,42.1966,42.1966,42.1966,42.1966,0
2024-10-25,45.8771,45.8771,45.8771,45.8771,0
2024-10-28,48.9336,48.9336,48.9336,48.9336,0
2024-10-29,33.0180,33.0180,33.0180,33.0180,0
2024-10-30,31.3932,31.3932,31.3932,31.3932,0
2024-10-31,34.7801,34.7801,34.7801,34.7801,0
2024-11-01,36.3903,36.3903,36.3903,36.3903,0
2024-11-04,39.4730,39.4730,39.4730,39.4730,0
2024-11-05,43.4648,43.4648,43.4648,43.4648,0
2024-11-06,50.5965,50.5965,50.5965,50.5965,0
2024-11-07,46.6976,46.6976,46.6976,46.6976,0
2024-11-08,55.6056,55.6056,55.6056,55.6056,0
2024-11-11,66.2517,66.2517,66.2517,66.2517,0
2024-11-12,60.6031,60.6031,60.6031,60.6031,0
2024-11-13,59.0072,59.0072,59.0072,59.0072,0
2024-11-14,53.7236,53.7236,53.7236,53.7236,0
2024-11-15,50.7506,50.7506,50.7506,50.7506,0
2024-11-18,52.4761,52.4761,52.4761,52.4761,0
2024-11-19,48.7709,48.7709,48.7709,48.7709,0
2024-11-20,45.5909,45.5909,45.5909,45.5909,0
2024-11-21,52.8300,52.8300,52.8300,52.8300,0
2024-11-22,59.4975,59.4975,59.4975,59.4975,0
2024-11-25,53.7361,53.7361,53.7361,53.7361,0
2024-11-26,53.5789,53.5789,53.5789,53.5789,0
2024-11-27,51.7288,51.7288,51.7288,51.7288,0
2024-11-29,52.3355,52.3355,52.3355,52.3355,0
2024-12-02,45.6230,45.6230,45.6230,45.6230,0
2024-12-03,41.7156,41.7156,41.7156,41.7156,0
2024-12-04,53.1169,53.1169,53.1169,53.1169,0
2024-12-05,55.0689,55.0689,55.0689,55.0689,0
2024-12-06,60.7930,60.7930,60.7930,60.7930,0
2024-12-09,59.2953,59.2953,59.2953,59.2953,0
