Date,Open,High,Low,Close,Volume
07/15/2024,42.5000,42.5000,42.5000,42.5000,0
07/16/2024,42.5000,42.5000,42.5000,42.5000,0
07/17/2024,42.5000,42.5000,42.5000,42.5000,0
07/18/2024,42.5000,42.5000,42.5000,42.5000,0
07/19/2024,42.5000,42.5000,42.5000,42.5000,0
07/22/2024,49.0000,49.0000,49.0000,49.0000,0
07/23/2024,45.2857,45.2857,45.2857,45.2857,0
07/24/2024,48.5938,48.5938,48.5938,48.5938,0
07/25/2024,49.0000,49.0000,49.0000,49.0000,0
07/26/2024,46.4000,46.4000,46.4000,46.4000,0
07/29/2024,44.2727,44.2727,44.2727,44.2727,0
07/30/2024,49.8125,49.8125,49.8125,49.8125,0
07/31/2024,47.3462,47.3462,47.3462,47.3462,0
08/01/2024,49.0893,49.0893,49.0893,49.0893,0
08/02/2024,53.0535,53.0535,53.0535,53.0535,0
08/05/2024,45.1956,45.1956,45.1956,45.1956,0
08/06/2024,51.8229,51.8229,51.8229,51.8229,0
08/07/2024,48.8655,48.8655,48.8655,48.8655,0
08/08/2024,48.8004,48.8004,48.8004,48.8004,0
08/09/2024,57.6126,57.6126,57.6126,57.6126,0
08/12/2024,56.3897,56.3897,56.3897,56.3897,0
08/13/2024,66.6658,66.6658,66.6658,66.6658,0
08/14/2024,60.7799,60.7799,60.7799,60.7799,0
08/15/2024,63.7511,63.7511,63.7511,63.7511,0
08/16/2024,62.4342,62.4342,62.4342,62.4342,0
08/19/2024,65.0378,65.0378,65.0378,65.0378,0
08/20/2024,66.8725,66.8725,66.8725,66.8725,0
08/21/2024,64.2106,64.2106,64.2106,64.2106,0
08/22/2024,55.9552,55.9552,55.9552,55.9552,0
08/23/2024,60.1135,60.1135,60.1135,60.1135,0
08/26/2024,55.7587,55.7587,55.7587,55.7587,0
08/27/2024,55.2158,55.2158,55.2158,55.2158,0
08/28/2024,48.1657,48.1657,48.1657,48.1657,0
08/29/2024,53.2281,53.2281,53.2281,53.2281,0
08/30/2024,52.3035,52.3035,52.3035,52.3035,0
09/03/2024,48.4054,48.4054,48.4054,48.4054,0
09/04/2024,42.4316,42.4316,42.4316,42.4316,0
09/05/2024,34.2600,34.2600,34.2600,34.2600,0
09/06/2024,28.4568,28.4568,28.4568,28.4568,0
09/09/2024,33.6828,33.6828,33.6828,33.6828,0
09/10/2024,31.9906,31.9906,31.9906,31.9906,0
09/11/2024,40.6474,40.6474,40.6474,40.6474,0
09/12/2024,36.5329,36.5329,36.5329,36.5329,0
09/13/2024,40.2576,40.2576,40.2576,40.2576,0
09/16/2024,42.2592,42.2592,42.2592,42.2592,0
09/17/2024,44.1351,44.1351,44.1351,44.1351,0
09/18/2024,47.1070,47.1070,47.1070,47.1070,0
09/19/2024,50.3771,50.3771,50.3771,50.3771,0
09/20/2024,50.5684,50.5684,50.5684,50.5684,0
09/23/2024,55.5875,55.5875,55.5875,55.5875,0
09/24/2024,54.4797,54.4797,54.4797,54.4797,0
09/25/2024,53.4454,53.4454,53.4454,53.4454,0
09/26/2024,56.1673,56.1673,56.1673,56.1673,0
09/27/2024,51.2226,51.2226,51.2226,51.2226,0
09/30/2024,56.3341,56.3341,56.3341,56.3341,0
10/01/2024,52.2363,52.2363,52.2363,52.2363,0
